object_id,z,t0,mwebv,ra,dec,mwebv_sfd98,max_mag_r,max_mag_g,t_peak,true_target
1420010,0.1181196350998066,57570.01865733225,-0.0013174019897867,223.438834262676,40.39915933254534,0.0125679273740435,19.007660220153184,18.885166869934626,57568.19513247867,0
2000010,0.1129990438238762,57680.01913683261,0.0636228113787873,351.58154625963124,19.350944889540752,0.0657245844497689,19.579606958353608,19.733001472407768,57686.25741932212,0
2110010,0.0745189561546839,57630.13977263771,0.0162058274655415,27.05454414914856,-25.14729021858659,0.0120687700024532,18.76802713480649,18.880300259265077,57633.41700264591,0
2920010,0.1166256292823609,57662.434785582205,0.0545169101119735,49.67589598348746,-14.38188249450152,0.0443616340896224,19.564714318644487,19.703890957500317,57662.39794658912,0
3630010,0.0726815399917333,57705.06954688113,0.0324079246117437,271.6038291885449,62.845065866966536,0.0279992718397715,19.11573334523414,19.09121145814733,57697.11692487103,0
4300010,0.1557906816850532,57640.46210725031,0.0142509069068527,26.05262269535217,-24.90592209966068,0.0117881102909958,19.85731131622359,19.64046930268724,57639.41882616632,0
4380010,0.1217858429813476,57491.59219092818,0.0119475190985938,171.89446704187324,27.16677146921947,0.0155865242264288,19.726775888964475,19.83818155287241,57494.19286063256,0
5120010,0.0789984656124726,57621.60622167953,0.0578162884005772,31.164951177415794,14.459834398527706,0.0463207408779862,18.723254739037262,18.53704756533822,57621.40016584842,0
5330010,0.070204502497599,57443.50534053883,0.0103408857657763,204.16748163804672,53.28639823536472,0.0102781938003307,18.7026271256668,18.69597568631309,57443.40088655879,0
5810010,0.1412881207612087,57692.20263764527,0.0273432747763495,142.9966625270615,8.738221657807587,0.0409532239415289,19.35576402538749,19.23732159592767,57690.50406704792,0
5820010,0.1233651752011104,57494.46213310424,0.0705233223093811,269.1602965667674,19.27100468543278,0.0660699560571804,19.84925021553,19.88893779711381,57496.4392359094,0
6650010,0.0980747329728464,57485.58434959017,0.291555349804667,90.8470147215068,41.209180153224544,0.2869746434708936,19.55541435252387,19.6094738789804,57493.17348041928,0
6980010,0.1396547856674479,57668.63679409233,0.0412808573626811,68.86996204289508,-17.427254354100306,0.0381367875904874,19.87807847064968,19.80499674995378,57669.42826457795,0
7340010,0.0964207497411692,57567.52537741648,0.0817354082131544,295.99389955164605,57.77239680706009,0.0749520720454332,19.419301549379576,19.525766558318857,57565.436196300965,0
7370010,0.1280587055835828,57701.27423889271,0.0316084000640513,130.88161762658606,27.89416893584609,0.0435244093494392,19.54690447715544,19.288828189101444,57697.50455101562,0
8070010,0.1402564393490537,57648.17851541601,0.038778188624485,264.97648083199726,30.320762120292837,0.0407497317539739,19.94779295725351,19.807532812670782,57650.16438019632,0
8090010,0.0707331400306041,57668.86325553511,0.0592074961772681,311.9217232680698,-7.825423251424112,0.0651762094092082,18.70819927234964,18.6169924606014,57669.227129824445,0
9400010,0.1221322305165852,57700.67658177338,0.032670041645847,140.1590557183452,18.575855577008014,0.0245308724005396,19.60372904172778,19.346428999800654,57697.54023724993,0
9420010,0.0507276304310773,57681.75985390207,0.3409782591812653,37.256981731829335,55.75306206637399,0.3433635541989138,18.58148773276425,18.91717445737074,57685.32496941626,0
10010010,0.1318989927536476,57674.31051436895,0.033111964594239,324.2362474476761,8.35872598748299,0.0288123300383882,19.593087078982684,19.586719130605267,57672.21057038693,0
10180010,0.1287242117210043,57646.43326706159,0.0659695481743403,355.66174864585224,17.670066466968002,0.0648649395956243,19.69356965953914,19.59614445134828,57643.37900013482,0
10440010,0.1053155167574246,57611.92848401573,0.1723138288174369,28.028570988099485,49.897224624579536,0.1645511058611455,19.88544090535177,19.96162416670695,57612.44979209357,0
10660010,0.0476810074281928,57488.996824966445,0.0381153853691142,250.34003072145924,53.2100565903788,0.0426887215193519,17.743044336214965,17.570960819253667,57487.43230606065,0
10720010,0.0700335434129761,57653.95307881938,0.0353611890457691,268.2711439971273,46.13071787438816,0.0337730595599887,18.94259037342897,19.14650596039328,57656.11886905086,0
10740010,0.0662435639982151,57600.71432022334,0.1049747738422601,76.502837272591,72.88538415579018,0.0953763168088425,18.337572583944635,18.28630266982001,57599.471130177495,0
